ID;Company;Code;Description;Units;Rate;Value;Date;Rep;Region;PayMethod;Commission;Notes
3485;Bauer Group;PROD_874;Phased upward-trending success;15;643.62;9654.3;30-10-2024;Jeanette Rhodes;Northeast;Check;482.715;Compare seven community moment me.
3494;Caldwellu Merritt and Smith;PROD_707;Pre-emptive zero-defect moratorium;84;371.14;31175.76;09-03-2024;Heidi Miller;South;Check;1558.788;
3052;Brooks, Smith and Daniels;PROD_186;  User-centric high-level implementation  ;0;914.56;;08/28/2024;  Joshua James DDS  ;Northeast;Credit Card;0.0;Republican though believe song if accept meet.
6980;Yates-Walker;PROD_680;Proactive attitude-oriented adapter;;70.75;0;01-11-2024;Veronica Roth;Southwest;  Bank Transfer  ;0.0;Will hope eye head.
4577;Harris LLC;PROD_423;Monitored regional firmware;0;64.18;0;2025-08-09;Kyle Carter;South;  Credit Card  ;0.0;
4723;  Harris LLC  ;PROD_277;  Persistent intermediate firmware  ;60;279.44;16766.4;2024-01-26;Veronica Roth;Southwest;Credit Card;838.3200000000002;Sister effort resource worry your woman white audience.
8088;Jones-Maddan;PROD_116;Polarized next generation encryption;83;169.14;14038.62;  07/20/2025  ;Joshua James DDS;Southwest;  Wire Transfer  ;701.931;Watch really owner boy.
7435;Johnson, Anderson and Miller;PROD_193;Persistent intermediate firmware;64;30.52;1953.28;2024-11-15;Mr. Brian Clay MD;North;Credit Card;97.664;Cell successful season goal management deal risk.
3889;Caldwell, Merritt and Smith;PROD_142;Monitored bifurcated secured line;0;272.76;;2024-06-23;Veronica Roth;  Southwest  ;Credit Card;0.0;
8228;  Dodson, Perez and Evans  ;PROD_839;Phased upward-trending success;2;318.76;637.52;11-16-24;;West;  Credit Card  ;31.876;
2121;Holt Group;PROD_774;Synergistic modular capability;4;;3183.68;2024-05-15;  Kenneth Smith  ;Southwest;Bank Transfer;159.184;
4457;Payne-Callahan;PROD_923;Pre-emptive zero-defect miratorium;47;406.7;19114.9;;Jessica Rogers;West;Wire Transfer;955.7450000000001;Woman require stand hospital cell expect.
6635;Callahan-Patterson;PROD_114;Reduced mobile instruction set;18;233.24;4198.32;10-24-24;Terrancy Scott;West;PayPal;209.916;
4883;Gutierrvz and Sons;PROD_355;Monitored bifurcated secured line;91;530.67;48290.97;06-04-25;Jacqueline Brooks;South;Check;2414.5485000000003;Worry fill claim catch wear.
9057;May-Campbell;PROD_229;Synergistic modular capability;88;790.64;69576.32;10-02-24;Kenneth Smith;  East  ;PayPal;3478.8160000000007;Grow keep be believe without local to.
6672;Taylor-Davis;;Self-enabling eco-centric data-warehouse;72;221.56;15952.32;02/15/2025;Jacqueline Brooks;East;Check;797.616;
4175;Vaughn-Ross;PROD_252;Optimized zero-defect support;87;743.92;64721.04;Invalid Date;Jessica Rogers;Central;Credit Card;3236.052;
4175;Vaughn-Ross;PROD_252;Optimized zero-defect support;1;743.92;64721.04;Invalid Date;Jessica Rogers;Central;Credit Card;3236.052;
3603;Mccarthy-Gonzales;PROD_475;Optimized zero-defect support;34;613.24;20850.16;2024-06-19;Veronica Roth;South;Bank Transfer;1042.508;
4614;N/A;  PROD_928  ;Mandatory methodical leverage;30;46.45;1393.5;04-01-25;Marl Sosa;South;Credit Card;69.675;
9808;  Walls, Haynes and Williams  ;PROD_840;Team-oriented zero tolerance Graphical User Interface;24;155.48;2650.21;2024-09-21;Mr. Brian Clay MD;Northeast;Credit Card;132.5105;
7357;Bauer Group;PROD_710;Customizable asynchronous utilization;47;428.45;24520.47;06/13/2024;  Kenneth Smith  ;North;Wire Transfer;1226.0235;
3938;Goodwin-Anderson;PROD_292;Monitored regional firmware;6;307.58;2468.76;11/24/2023;Terrance Scott;South;  PayPal  ;123.43800000000002;
8710;Glass, Davis and Williams;PROD_235;Switchable national circuit;41;608.98;24968.18;  2024-10-19  ;;  West  ;  Credit Card  ;1248.409;Order able piece well direction.
6914;Yjtes-Walker;PROD_626;  Public-key zero administration toolsrt  ;;510.87;;  2025-03-02  ;Mark Sosa;South;Credit Card;0.0;
3910;Goodwin-Anderson;  PROD_386  ;Synergistic modular capability;55;440.92;24250.6;07-06-25;Joel Clark;South;Cash;1212.53;
1426;Payne-Callahan;PROD_790;Vision-oriented tertiary help-desk;26;834.14;21687.64;;Veronica Roth;East;PayPal;1084.382;
4198;Glass, Davis and Williams;PROD_283;Reduced mobile instruction set;28;692.4;19387.2;06/07/2025;Angela Smith;South;Wire Transfer;969.3600000000001;
8645;Horn-Roberts;PROD_375;Profoukd full-range circuit;;949.3;;05/10/2025;Jeanette Rhodes;South;Credit Card;0.0;
7952;Payne-Callahan;PROD_979;Horizontal tangible circuit;0;441.75;;02/03/2025;Kyle Carter;North;  Bank Transfer  ;0.0;
8198;Payne-Callahan;  PROD_218  ;Mandatory methodical leverage;35;577.88;20225.8;2025-06-24;  Jacqueline Brooks  ;North;Wire Transfer;1011.29;
